Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.52000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref = -6.34891E-10
 -12  -12 Ray Error
 -12  -11 Ray Error
 -12   11 Ray Error
 -12   12 Ray Error
 -11  -12 Ray Error
 -11   12 Ray Error
  11  -12 Ray Error
  11   12 Ray Error
  12  -12 Ray Error
  12  -11 Ray Error
  12   11 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -8	 -10	 -2.30116E+01	 -2.79857E+01	  3.42578E+01	  2.58556E+00	  3.23196E+00	  2.27213E+00	  2.83993E+00	   -12.126795%
  -8	  -9	 -2.30116E+01	 -2.55618E+01	  3.26323E+01	  2.58556E+00	  2.90876E+00	  2.29587E+00	  2.58265E+00	   -11.208132%
  -8	  -8	 -2.30116E+01	 -2.30357E+01	  3.10286E+01	  2.58556E+00	  2.58557E+00	  2.31982E+00	  2.31963E+00	   -10.281536%
  -8	  -7	 -2.30116E+01	 -2.04113E+01	  2.94721E+01	  2.58556E+00	  2.26237E+00	  2.34303E+00	  2.04997E+00	    -9.383744%
  -8	  -6	 -2.30116E+01	 -1.76943E+01	  2.79937E+01	  2.58556E+00	  1.93917E+00	  2.36472E+00	  1.77338E+00	    -8.544249%
  -8	  -5	 -2.30116E+01	 -1.48927E+01	  2.66302E+01	  2.58556E+00	  1.61598E+00	  2.38425E+00	  1.49001E+00	    -7.788365%
  -8	  -4	 -2.30116E+01	 -1.20163E+01	  2.54234E+01	  2.58556E+00	  1.29278E+00	  2.40105E+00	  1.20039E+00	    -7.138050%
  -8	  -3	 -2.30116E+01	 -9.07711E+00	  2.44181E+01	  2.58556E+00	  9.69587E-01	  2.41465E+00	  9.05369E-01	    -6.611893%
  -8	  -2	 -2.30116E+01	 -6.08901E+00	  2.36589E+01	  2.58556E+00	  6.46391E-01	  2.42464E+00	  6.06045E-01	    -6.224837%
  -8	  -1	 -2.30116E+01	 -3.06731E+00	  2.31843E+01	  2.58556E+00	  3.23196E-01	  2.43075E+00	  3.03734E-01	    -5.987843%
  -8	   0	 -2.30116E+01	 -2.84622E-02	  2.30208E+01	  2.58556E+00	 -0.00000E+00	  2.43281E+00	 -1.09044E-04	    -5.907615%
  -8	   1	 -2.30116E+01	  3.01055E+00	  2.31783E+01	  2.58556E+00	 -3.23196E-01	  2.43076E+00	 -3.03956E-01	    -5.986424%
  -8	   2	 -2.30116E+01	  6.03272E+00	  2.36473E+01	  2.58556E+00	 -6.46391E-01	  2.42466E+00	 -6.06280E-01	    -6.222055%
  -8	   3	 -2.30116E+01	  9.02159E+00	  2.44015E+01	  2.58556E+00	 -9.69587E-01	  2.41467E+00	 -9.05624E-01	    -6.607861%
  -8	   4	 -2.30116E+01	  1.19618E+01	  2.54026E+01	  2.58556E+00	 -1.29278E+00	  2.40108E+00	 -1.20067E+00	    -7.132938%
  -8	   5	 -2.30116E+01	  1.48395E+01	  2.66060E+01	  2.58556E+00	 -1.61598E+00	  2.38428E+00	 -1.49032E+00	    -7.782404%
  -8	   6	 -2.30116E+01	  1.76427E+01	  2.79670E+01	  2.58556E+00	 -1.93917E+00	  2.36474E+00	 -1.77371E+00	    -8.537727%
  -8	   7	 -2.30116E+01	  2.03613E+01	  2.94436E+01	  2.58556E+00	 -2.26237E+00	  2.34303E+00	 -2.05032E+00	    -9.377015%
  -8	   8	 -2.30116E+01	  2.29875E+01	  3.09990E+01	  2.58556E+00	 -2.58557E+00	  2.31980E+00	 -2.31999E+00	   -10.275031%
  -8	   9	 -2.30116E+01	  2.55154E+01	  3.26020E+01	  2.58556E+00	 -2.90876E+00	  2.29581E+00	 -2.58300E+00	   -11.202413%
  -8	  10	 -2.30116E+01	  2.79413E+01	  3.42273E+01	  2.58556E+00	 -3.23196E+00	  2.27201E+00	 -2.84024E+00	   -12.122689%
  -8	  11	 -2.30116E+01	  3.02629E+01	  3.58544E+01	  2.58556E+00	 -3.55515E+00	  2.24977E+00	 -3.09368E+00	   -12.982718%
  -8	  12	 -2.30116E+01	  3.24798E+01	  3.74674E+01	  2.58556E+00	 -3.87835E+00	  2.23175E+00	 -3.34789E+00	   -13.679486%
  -7	 -12	 -2.03863E+01	 -3.25202E+01	  3.64650E+01	  2.26236E+00	  3.87835E+00	  1.96252E+00	  3.36407E+00	   -13.258525%
  -7	 -11	 -2.03863E+01	 -3.03053E+01	  3.47404E+01	  2.26236E+00	  3.55515E+00	  1.98217E+00	  3.11460E+00	   -12.389899%
  -7	 -10	 -2.03863E+01	 -2.79857E+01	  3.29894E+01	  2.26236E+00	  3.23196E+00	  2.00428E+00	  2.86304E+00	   -11.412249%
  -7	  -9	 -2.03863E+01	 -2.55618E+01	  3.12272E+01	  2.26236E+00	  2.90876E+00	  2.02727E+00	  2.60629E+00	   -10.395936%
  -7	  -8	 -2.03863E+01	 -2.30357E+01	  2.94741E+01	  2.26236E+00	  2.58557E+00	  2.05015E+00	  2.34285E+00	    -9.384255%
  -7	  -7	 -2.03863E+01	 -2.04113E+01	  2.77567E+01	  2.26236E+00	  2.26237E+00	  2.07217E+00	  2.07201E+00	    -8.410636%
  -7	  -6	 -2.03863E+01	 -1.76943E+01	  2.61084E+01	  2.26236E+00	  1.93917E+00	  2.09267E+00	  1.79358E+00	    -7.503838%
  -7	  -5	 -2.03863E+01	 -1.48927E+01	  2.45707E+01	  2.26236E+00	  1.61598E+00	  2.11109E+00	  1.50779E+00	    -6.689443%
  -7	  -4	 -2.03863E+01	 -1.20163E+01	  2.31932E+01	  2.26236E+00	  1.29278E+00	  2.12690E+00	  1.21526E+00	    -5.990027%
  -7	  -3	 -2.03863E+01	 -9.07711E+00	  2.20319E+01	  2.26236E+00	  9.69587E-01	  2.13967E+00	  9.16902E-01	    -5.424862%
  -7	  -2	 -2.03863E+01	 -6.08901E+00	  2.11452E+01	  2.26236E+00	  6.46391E-01	  2.14906E+00	  6.13924E-01	    -5.009484%
  -7	  -1	 -2.03863E+01	 -3.06731E+00	  2.05861E+01	  2.26236E+00	  3.23196E-01	  2.15479E+00	  3.07741E-01	    -4.755293%
  -7	   0	 -2.03863E+01	 -2.84622E-02	  2.03927E+01	  2.26236E+00	 -0.00000E+00	  2.15673E+00	 -8.50893E-05	    -4.669257%
  -7	   1	 -2.03863E+01	  3.01055E+00	  2.05790E+01	  2.26236E+00	 -3.23196E-01	  2.15481E+00	 -3.07916E-01	    -4.753736%
  -7	   2	 -2.03863E+01	  6.03272E+00	  2.11316E+01	  2.26236E+00	 -6.46391E-01	  2.14908E+00	 -6.14114E-01	    -5.006425%
  -7	   3	 -2.03863E+01	  9.02159E+00	  2.20127E+01	  2.26236E+00	 -9.69587E-01	  2.13970E+00	 -9.17114E-01	    -5.420411%
  -7	   4	 -2.03863E+01	  1.19618E+01	  2.31693E+01	  2.26236E+00	 -1.29278E+00	  2.12693E+00	 -1.21550E+00	    -5.984351%
  -7	   5	 -2.03863E+01	  1.48395E+01	  2.45433E+01	  2.26236E+00	 -1.61598E+00	  2.11112E+00	 -1.50807E+00	    -6.682770%
  -7	   6	 -2.03863E+01	  1.76427E+01	  2.60784E+01	  2.26236E+00	 -1.93917E+00	  2.09270E+00	 -1.79388E+00	    -7.496456%
  -7	   7	 -2.03863E+01	  2.03613E+01	  2.77251E+01	  2.26236E+00	 -2.26237E+00	  2.07218E+00	 -2.07234E+00	    -8.402893%
  -7	   8	 -2.03863E+01	  2.29875E+01	  2.94416E+01	  2.26236E+00	 -2.58557E+00	  2.05015E+00	 -2.34320E+00	    -9.376564%
  -7	   9	 -2.03863E+01	  2.55154E+01	  3.11942E+01	  2.26236E+00	 -2.90876E+00	  2.02724E+00	 -2.60665E+00	   -10.388800%
  -7	  10	 -2.03863E+01	  2.79413E+01	  3.29565E+01	  2.26236E+00	 -3.23196E+00	  2.00421E+00	 -2.86338E+00	   -11.406338%
  -7	  11	 -2.03863E+01	  3.02629E+01	  3.47079E+01	  2.26236E+00	 -3.55515E+00	  1.98204E+00	 -3.11487E+00	   -12.386275%
  -7	  12	 -2.03863E+01	  3.24798E+01	  3.64330E+01	  2.26236E+00	 -3.87835E+00	  1.96229E+00	 -3.36417E+00	   -13.259311%
  -6	 -12	 -1.76685E+01	 -3.25202E+01	  3.55136E+01	  1.93917E+00	  3.87835E+00	  1.69112E+00	  3.38200E+00	   -12.796572%
  -6	 -11	 -1.76685E+01	 -3.03053E+01	  3.36796E+01	  1.93917E+00	  3.55515E+00	  1.71038E+00	  3.13547E+00	   -11.803533%
  -6	 -10	 -1.76685E+01	 -2.79857E+01	  3.18054E+01	  1.93917E+00	  3.23196E+00	  1.73118E+00	  2.88510E+00	   -10.730237%
  -6	  -9	 -1.76685E+01	 -2.55618E+01	  2.99051E+01	  1.93917E+00	  2.90876E+00	  1.75249E+00	  2.62855E+00	    -9.631373%
