Listing of Grid Distortion Data

File : F:\Dropbox\Eduardo Fundus camera\Real 3mm pupil\fund41 MTF 3mm pupil 2mm air gap 90deg field..zmx
Title: 
Date : 8/21/2018
Configuration 1 of 5

Units are Millimeters.
Field units are degrees
WARNING: Field units have been changed from real image height to field angle.
Wavelength: 0.47000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  5.39847E-05
 -12  -12 Ray Error
 -12   12 Ray Error
  12  -12 Ray Error
  12   12 Ray Error

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
  -9	  -5	 -2.55386E+01	 -1.48927E+01	  2.86907E+01	  2.90969E+00	  1.61650E+00	  2.64966E+00	  1.47186E+00	    -8.939283%
  -9	  -4	 -2.55386E+01	 -1.20163E+01	  2.76303E+01	  2.90969E+00	  1.29320E+00	  2.66702E+00	  1.18518E+00	    -8.342303%
  -9	  -3	 -2.55386E+01	 -9.07711E+00	  2.67552E+01	  2.90969E+00	  9.69900E-01	  2.68108E+00	  8.93541E-01	    -7.858709%
  -9	  -2	 -2.55386E+01	 -6.08901E+00	  2.60996E+01	  2.90969E+00	  6.46600E-01	  2.69142E+00	  5.97950E-01	    -7.502641%
  -9	  -1	 -2.55386E+01	 -3.06731E+00	  2.56923E+01	  2.90969E+00	  3.23300E-01	  2.69775E+00	  2.99611E-01	    -7.284484%
  -9	   0	 -2.55386E+01	 -2.84622E-02	  2.55525E+01	  2.90969E+00	 -0.00000E+00	  2.69989E+00	 -1.37470E-04	    -7.210600%
  -9	   1	 -2.55386E+01	  3.01055E+00	  2.56872E+01	  2.90969E+00	 -3.23300E-01	  2.69776E+00	 -2.99890E-01	    -7.283148%
  -9	   2	 -2.55386E+01	  6.03272E+00	  2.60897E+01	  2.90969E+00	 -6.46600E-01	  2.69144E+00	 -5.98240E-01	    -7.500024%
  -9	   3	 -2.55386E+01	  9.02159E+00	  2.67408E+01	  2.90969E+00	 -9.69900E-01	  2.68109E+00	 -8.93849E-01	    -7.854923%
  -9	   4	 -2.55386E+01	  1.19618E+01	  2.76121E+01	  2.90969E+00	 -1.29320E+00	  2.66704E+00	 -1.18551E+00	    -8.337512%
  -9	   5	 -2.55386E+01	  1.48395E+01	  2.86694E+01	  2.90969E+00	 -1.61650E+00	  2.64968E+00	 -1.47222E+00	    -8.933703%
  -9	   6	 -2.55386E+01	  1.76427E+01	  2.98768E+01	  2.90969E+00	 -1.93980E+00	  2.62952E+00	 -1.75320E+00	    -9.625942%
  -9	   7	 -2.55386E+01	  2.03613E+01	  3.11994E+01	  2.90969E+00	 -2.26310E+00	  2.60718E+00	 -2.02801E+00	   -10.393403%
  -9	   8	 -2.55386E+01	  2.29875E+01	  3.26054E+01	  2.90969E+00	 -2.58640E+00	  2.58336E+00	 -2.29654E+00	   -11.211775%
  -9	   9	 -2.55386E+01	  2.55154E+01	  3.40668E+01	  2.90969E+00	 -2.90970E+00	  2.55891E+00	 -2.55914E+00	   -12.051882%
  -9	  10	 -2.55386E+01	  2.79413E+01	  3.55598E+01	  2.90969E+00	 -3.23300E+00	  2.53495E+00	 -2.81687E+00	   -12.874888%
  -9	  11	 -2.55386E+01	  3.02629E+01	  3.70649E+01	  2.90969E+00	 -3.55630E+00	  2.51337E+00	 -3.07216E+00	   -13.616428%
  -9	  12	 -2.55386E+01	  3.24798E+01	  3.85663E+01	  2.90969E+00	 -3.87960E+00	  2.49856E+00	 -3.33168E+00	   -14.125585%
  -8	 -12	 -2.30116E+01	 -3.25202E+01	  3.74994E+01	  2.58639E+00	  3.87960E+00	  2.22998E+00	  3.34470E+00	   -13.785379%
  -8	 -11	 -2.30116E+01	 -3.03053E+01	  3.58867E+01	  2.58639E+00	  3.55630E+00	  2.24940E+00	  3.09267E+00	   -13.034268%
